"id","side","list","vote"
"01","Left","UG",21.33
"01","Right","UMP",3.32
"01","Right","UD",49.86
"01","Right","FN",25.5
"10","Left","DVG",5.21
"10","Right","UMP",28.77
"10","Right","UD",10.3
"10","Right","DVD",17.05
"10","Right","FN",38.69
"11","Left","SOC",44.62
"11","Left","DVG",3.76
"11","Right","UMP",3.1
"11","Right","UD",4.29
"11","Right","DVD",5.2
"11","Right","FN",39.03
"12","Left","FG",2.85
"12","Left","SOC",14.26
"12","Left","UG",8.86
"12","Left","RDG",8.12
"12","Left","DVG",14.59
"12","Right","UDI",13.54
"12","Right","UMP",3.74
"12","Right","UD",5.73
"12","Right","DVD",28.32
"13","Left","COM",4.18
"13","Left","SOC",7.74
"13","Left","UG",6.2
"13","Left","DVG",4.67
"13","Right","UD",38.01
"13","Right","FN",39.2
"14","Left","SOC",17.22
"14","Left","UG",5.42
"14","Left","DVG",6.07
"14","Right","MDM",2.05
"14","Right","UDI",2.28
"14","Right","UMP",4.79
"14","Right","UD",25.88
"14","Right","DVD",20.78
"14","Right","FN",15.51
"15","Left","SOC",4.27
"15","Left","UG",14.23
"15","Left","DVG",11.67
"15",NA,"DIV",22.91
"15","Right","UMP",4.58
"15","Right","UD",20.38
"15","Right","DVD",21.96
"16","Left","UG",38.94
"16","Left","DVG",2.89
"16","Right","UD",49.1
"16","Right","FN",9.08
"17","Left","SOC",15.02
"17","Left","UG",9
"17","Left","RDG",5.83
"17","Left","DVG",7.19
"17",NA,"DIV",1.51
"17","Right","UMP",19.93
"17","Right","UD",23.55
"17","Right","FN",17.97
"18","Left","FG",7.95
"18","Left","SOC",16.93
"18","Left","UG",2.75
"18","Right","UDI",3.07
"18","Right","UD",44.29
"18","Right","FN",25.01
"19","Left","SOC",47.64
"19","Right","UMP",48.14
"19","Right","UD",4.22
"02","Left","SOC",2.28
"02","Left","UG",23.96
"02","Right","UDI",3.06
"02","Right","UMP",5.96
"02","Right","UD",20.39
"02","Right","FN",44.34
"21","Left","SOC",2.12
"21","Left","UG",25.28
"21","Left","RDG",2.2
"21","Right","UD",47.56
"21","Right","FN",22.84
"22","Left","SOC",23.87
"22","Left","UG",15.8
"22","Left","DVG",8.94
"22","Right","UC",1.63
"22","Right","UDI",1.9
"22","Right","UMP",4.28
"22","Right","UD",16.01
"22","Right","DVD",26.59
"22","Right","FN",0.98
"23","Left","SOC",29.88
"23","Left","UG",20.26
"23","Right","UMP",12.39
"23","Right","UD",27.25
"23","Right","DVD",8.84
"23","Right","FN",1.37
"24","Left","COM",3.2
"24","Left","SOC",46.14
"24","Left","UG",2.44
"24","Right","UDI",1.27
"24","Right","UMP",6.28
"24","Right","UD",16.37
"24","Right","DVD",12.11
"24","Right","FN",12.19
"25","Left","SOC",30.35
"25","Left","DVG",3.13
"25","Left","VEC",2.41
"25",NA,"DIV",1.5
"25","Right","UMP",7.88
"25","Right","UD",27.05
"25","Right","DVD",2.13
"25","Right","FN",25.55
"26","Left","SOC",26.7
"26","Left","UG",5.01
"26","Left","DVG",3.19
"26","Right","UD",39.98
"26","Right","FN",25.12
"27","Left","FG",1.99
"27","Left","UG",18.13
"27","Left","DVG",4.21
"27","Right","UD",41.99
"27","Right","FN",33.68
"28","Left","SOC",5.43
"28","Left","UG",3.27
"28","Left","DVG",11.02
"28","Right","UMP",35.65
"28","Right","UD",12.96
"28","Right","DVD",3.92
"28","Right","FN",27.75
"29","Left","SOC",47.26
"29",NA,"DIV",2.09
"29","Right","UD",47.72
"29","Right","DVD",2.03
"29","Right","FN",0.9
"2A","Right","UMP",71.49
"2A","Right","FN",28.51
"2B","Left","SOC",2.32
"2B","Left","RDG",12.26
"2B","Left","DVG",48.35
"2B",NA,"DIV",9.02
"2B","Right","UMP",13.28
"2B","Right","DVD",14.77
"03","Left","FG",7.12
"03","Left","COM",5.98
"03","Left","SOC",13.76
"03","Left","UG",10.35
"03","Left","RDG",2.82
"03","Right","UMP",4.67
"03","Right","UD",13.21
"03","Right","DVD",34.81
"03","Right","FN",7.28
"30","Left","COM",4.12
"30","Left","SOC",11.85
"30","Left","UG",2.23
"30","Left","DVG",10
"30","Right","UD",27.01
"30","Right","DVD",2.89
"30","Right","FN",41.89
"31","Left","SOC",42.58
"31","Left","UG",10.26
"31","Left","DVG",2.02
"31","Right","UD",19.05
"31","Right","DVD",10.28
"31","Right","FN",15.82
"32","Left","SOC",30.33
"32","Left","UG",18.94
"32","Left","DVG",1.96
"32","Right","UC",3.47
"32","Right","UMP",12.43
"32","Right","UD",2.61
"32","Right","DVD",24.17
"32","Right","FN",6.1
"33","Left","SOC",24.37
"33","Left","UG",21.74
"33","Right","UD",38.26
"33","Right","DVD",1.59
"33","Right","FN",14.03
"34","Left","FG",2.28
"34","Left","SOC",22.81
"34","Left","UG",1.51
"34","Left","DVG",16
"34","Left","VEC",2.22
"34","Right","UMP",10.96
"34","Right","UD",7.84
"34","Right","FN",36.37
"35","Left","SOC",28.22
"35","Left","UG",11.24
"35","Left","DVG",7.48
"35","Right","UC",1.95
"35","Right","UDI",3.85
"35","Right","UMP",6.7
"35","Right","UD",18.73
"35","Right","DVD",16.17
"35","Right","FN",5.66
"36","Left","SOC",13.31
"36","Left","UG",10.56
"36","Right","UD",53.75
"36","Right","FN",22.38
"37","Left","SOC",26.43
"37","Left","UG",6.22
"37","Right","UD",52.59
"37","Right","FN",14.76
"38","Left","UG",28.71
"38","Left","DVG",4.72
"38",NA,"DIV",1.87
"38","Right","UD",41.82
"38","Right","FN",22.88
"39","Left","SOC",3.38
"39","Left","UG",7.34
"39","Left","DVG",18.15
"39","Right","UDI",2.45
"39","Right","UMP",3.09
"39","Right","UD",40.6
"39","Right","DVD",2.08
"39","Right","FN",22.92
"04","Left","FG",2.61
"04","Left","SOC",36
"04","Left","DVG",4.14
"04","Right","UMP",14.44
"04","Right","UD",13.89
"04","Right","DVD",7.4
"04","Right","FN",19.64
"04","Right","EXD",1.88
"40","Left","FG",3.2
