"id","side","list","vote"
"01","Left","EXG",0
"01","Left","FG",0
"01","Right","ALLI",0
"01","Right","PRV",0
"01","Right","NCE",0
"01","Right","UMP",52.48
"01","Right","DVD",0
"01","Right","FN",3.93
"01","Right","EXD",0
"01","Left","SOC",25.5
"01","Left","RDG",9.1
"01","Left","DVG",8.99
"01","Left","VEC",0
"01",NA,"REG",0
"01","Left","ECO",0
"01",NA,"AUT",0
"01","Right","CEN",0
"10","Left","EXG",0
"10","Left","FG",0
"10","Right","ALLI",0
"10","Right","PRV",0
"10","Right","NCE",0
"10","Right","UMP",52.6
"10","Right","DVD",0
"10","Right","FN",8.02
"10","Right","EXD",0
"10","Left","SOC",28.6
"10","Left","RDG",10.78
"10","Left","DVG",0
"10","Left","VEC",0
"10",NA,"REG",0
"10","Left","ECO",0
"10",NA,"AUT",0
"10","Right","CEN",0
"11","Left","EXG",0
"11","Left","FG",0
"11","Right","ALLI",0
"11","Right","PRV",0
"11","Right","NCE",0
"11","Right","UMP",25.86
"11","Right","DVD",0
"11","Right","FN",13.76
"11","Right","EXD",0
"11","Left","SOC",60.38
"11","Left","RDG",0
"11","Left","DVG",0
"11","Left","VEC",0
"11",NA,"REG",0
"11","Left","ECO",0
"11",NA,"AUT",0
"11","Right","CEN",0
"12","Left","EXG",0
"12","Left","FG",0
"12","Right","ALLI",0
"12","Right","PRV",0
"12","Right","NCE",0
"12","Right","UMP",47.32
"12","Right","DVD",0
"12","Right","FN",0
"12","Right","EXD",0
"12","Left","SOC",37.19
"12","Left","RDG",0
"12","Left","DVG",0
"12","Left","VEC",15.49
"12",NA,"REG",0
"12","Left","ECO",0
"12",NA,"AUT",0
"12","Right","CEN",0
"13","Left","EXG",0
"13","Left","FG",4.18
"13","Right","ALLI",0
"13","Right","PRV",0
"13","Right","NCE",0
"13","Right","UMP",33.68
"13","Right","DVD",0
"13","Right","FN",21.42
"13","Right","EXD",0
"13","Left","SOC",32.16
"13","Left","RDG",0
"13","Left","DVG",3
"13","Left","VEC",5.56
"13",NA,"REG",0
"13","Left","ECO",0
"13",NA,"AUT",0
"13","Right","CEN",0
"14","Left","EXG",0
"14","Left","FG",0
"14","Right","ALLI",0
"14","Right","PRV",0
"14","Right","NCE",7.77
"14","Right","UMP",34.37
"14","Right","DVD",0
"14","Right","FN",0
"14","Right","EXD",0
"14","Left","SOC",33.41
"14","Left","RDG",10.48
"14","Left","DVG",0
"14","Left","VEC",9.1
"14",NA,"REG",0
"14","Left","ECO",0
"14",NA,"AUT",0
"14","Right","CEN",4.87
"15","Left","EXG",0
"15","Left","FG",0
"15","Right","ALLI",0
"15","Right","PRV",0
"15","Right","NCE",0
"15","Right","UMP",48.37
"15","Right","DVD",0
"15","Right","FN",0
"15","Right","EXD",0
"15","Left","SOC",51.63
"15","Left","RDG",0
"15","Left","DVG",0
"15","Left","VEC",0
"15",NA,"REG",0
"15","Left","ECO",0
"15",NA,"AUT",0
"15","Right","CEN",0
"16","Left","EXG",0
"16","Left","FG",0
"16","Right","ALLI",0
"16","Right","PRV",0
"16","Right","NCE",0
"16","Right","UMP",42.92
"16","Right","DVD",0
"16","Right","FN",0
"16","Right","EXD",0
"16","Left","SOC",57.08
"16","Left","RDG",0
"16","Left","DVG",0
"16","Left","VEC",0
"16",NA,"REG",0
"16","Left","ECO",0
"16",NA,"AUT",0
"16","Right","CEN",0
"17","Left","EXG",0
"17","Left","FG",0
"17","Right","ALLI",0
"17","Right","PRV",0
"17","Right","NCE",0
"17","Right","UMP",38.01
"17","Right","DVD",0
"17","Right","FN",0
"17","Right","EXD",0
"17","Left","SOC",37.76
"17","Left","RDG",10.16
"17","Left","DVG",14.06
"17","Left","VEC",0
"17",NA,"REG",0
"17","Left","ECO",0
"17",NA,"AUT",0
"17","Right","CEN",0
"18","Left","EXG",0
"18","Left","FG",14.67
"18","Right","ALLI",0
"18","Right","PRV",0
"18","Right","NCE",0
"18","Right","UMP",40.33
"18","Right","DVD",0
"18","Right","FN",0
"18","Right","EXD",0
"18","Left","SOC",45
"18","Left","RDG",0
"18","Left","DVG",0
"18","Left","VEC",0
"18",NA,"REG",0
"18","Left","ECO",0
"18",NA,"AUT",0
"18","Right","CEN",0
"19","Left","EXG",0
"19","Left","FG",0
"19","Right","ALLI",0
"19","Right","PRV",0
"19","Right","NCE",0
"19","Right","UMP",41.04
"19","Right","DVD",0
"19","Right","FN",0
"19","Right","EXD",0
"19","Left","SOC",58.96
"19","Left","RDG",0
"19","Left","DVG",0
"19","Left","VEC",0
"19",NA,"REG",0
"19","Left","ECO",0
"19",NA,"AUT",0
"19","Right","CEN",0
"02","Left","EXG",0
"02","Left","FG",0
"02","Right","ALLI",0
"02","Right","PRV",0
"02","Right","NCE",7.42
"02","Right","UMP",35.96
"02","Right","DVD",0
"02","Right","FN",4.74
"02","Right","EXD",0
"02","Left","SOC",24.12
"02","Left","RDG",9.49
"02","Left","DVG",18.27
"02","Left","VEC",0
"02",NA,"REG",0
"02","Left","ECO",0
"02",NA,"AUT",0
"02","Right","CEN",0
"21","Left","EXG",0
"21","Left","FG",0
"21","Right","ALLI",0
"21","Right","PRV",0
"21","Right","NCE",11.02
"21","Right","UMP",40.41
"21","Right","DVD",0
"21","Right","FN",0
"21","Right","EXD",0
"21","Left","SOC",38.82
"21","Left","RDG",9.76
"21","Left","DVG",0
"21","Left","VEC",0
"21",NA,"REG",0
"21","Left","ECO",0
"21",NA,"AUT",0
"21","Right","CEN",0
"22","Left","EXG",0
"22","Left","FG",0
"22","Right","ALLI",0
"22","Right","PRV",0
"22","Right","NCE",0
"22","Right","UMP",40.1
"22","Right","DVD",0
"22","Right","FN",0
"22","Right","EXD",0
"22","Left","SOC",48.21
"22","Left","RDG",0
"22","Left","DVG",11.7
"22","Left","VEC",0
"22",NA,"REG",0
"22","Left","ECO",0
"22",NA,"AUT",0
"22","Right","CEN",0
"23","Left","EXG",0
"23","Left","FG",0
"23","Right","ALLI",0
"23","Right","PRV",0
"23","Right","NCE",0
"23","Right","UMP",42.45
"23","Right","DVD",0
"23","Right","FN",0
"23","Right","EXD",0
"23","Left","SOC",57.55
"23","Left","RDG",0
"23","Left","DVG",0
"23","Left","VEC",0
"23",NA,"REG",0
"23","Left","ECO",0
"23",NA,"AUT",0
"23","Right","CEN",0
"24","Left","EXG",0
"24","Left","FG",0
"24","Right","ALLI",0
"24","Right","PRV",0
"24","Right","NCE",0
"24","Right","UMP",40.62
"24","Right","DVD",0
"24","Right","FN",0
"24","Right","EXD",0
"24","Left","SOC",31.9
"24","Left","RDG",0
"24","Left","DVG",0
"24","Left","VEC",27.48
"24",NA,"REG",0
"24","Left","ECO",0
"24",NA,"AUT",0
"24","Right","CEN",0
"25","Left","EXG",0
"25","Left","FG",0
"25","Right","ALLI",0
"25","Right","PRV",0
"25","Right","NCE",0
"25","Right","UMP",47.29
"25","Right","DVD",0
"25","Right","FN",4.61
"25","Right","EXD",0
"25","Left","SOC",36.92
"25","Left","RDG",0
"25","Left","DVG",0
"25","Left","VEC",11.18
"25",NA,"REG",0
"25","Left","ECO",0
"25",NA,"AUT",0
"25","Right","CEN",0
"26","Left","EXG",0
"26","Left","FG",0
"26","Right","ALLI",0
"26","Right","PRV",12.18
"26","Right","NCE",0
"26","Right","UMP",38.03
"26","Right","DVD",0
"26","Right","FN",0
"26","Right","EXD",0
