"id","side","nom","vote"
"01","Left","JOLY",2.26
"01","Right","LE PEN",20.71
"01","Right","SARKOZY",30.41
"01","Left","MÉLENCHON",9.61
"01","Left","POUTOU",1.03
"01","Left","ARTHAUD",0.56
"01",NA,"CHEMINADE",0.27
"01","Right","BAYROU",10.16
"01","Right","DUPONT-AIGNAN",2.24
"01","Left","HOLLANDE",22.75
"10","Left","JOLY",1.41
"10","Right","LE PEN",25.12
"10","Right","SARKOZY",30.33
"10","Left","MÉLENCHON",7.93
"10","Left","POUTOU",1.01
"10","Left","ARTHAUD",0.61
"10",NA,"CHEMINADE",0.25
"10","Right","BAYROU",8.37
"10","Right","DUPONT-AIGNAN",2.17
"10","Left","HOLLANDE",22.79
"11","Left","JOLY",2.09
"11","Right","LE PEN",23.22
"11","Right","SARKOZY",21.63
"11","Left","MÉLENCHON",13.15
"11","Left","POUTOU",1.26
"11","Left","ARTHAUD",0.52
"11",NA,"CHEMINADE",0.21
"11","Right","BAYROU",6.04
"11","Right","DUPONT-AIGNAN",1.47
"11","Left","HOLLANDE",30.41
"12","Left","JOLY",2.34
"12","Right","LE PEN",14.1
"12","Right","SARKOZY",25.51
"12","Left","MÉLENCHON",12.26
"12","Left","POUTOU",1.33
"12","Left","ARTHAUD",0.53
"12",NA,"CHEMINADE",0.24
"12","Right","BAYROU",12.55
"12","Right","DUPONT-AIGNAN",1.7
"12","Left","HOLLANDE",29.44
"13","Left","JOLY",2.11
"13","Right","LE PEN",23.38
"13","Right","SARKOZY",27.5
"13","Left","MÉLENCHON",13.43
"13","Left","POUTOU",0.8
"13","Left","ARTHAUD",0.35
"13",NA,"CHEMINADE",0.22
"13","Right","BAYROU",6.35
"13","Right","DUPONT-AIGNAN",1.35
"13","Left","HOLLANDE",24.51
"14","Left","JOLY",2.13
"14","Right","LE PEN",16.22
"14","Right","SARKOZY",27.34
"14","Left","MÉLENCHON",10.56
"14","Left","POUTOU",1.34
"14","Left","ARTHAUD",0.66
"14",NA,"CHEMINADE",0.25
"14","Right","BAYROU",10.1
"14","Right","DUPONT-AIGNAN",2.05
"14","Left","HOLLANDE",29.34
"15","Left","JOLY",1.56
"15","Right","LE PEN",15.12
