region,cheflieu,pop2011
"Île-de-France","Paris",11852851
"Champagne-Ardenne","Châlons-en-Champagne",1336053
"Picardie","Amiens",1918155
"Haute-Normandie","Rouen",1839393
"Centre-Val de Loire","Orléans",2556835
"Basse-Normandie","Caen",1475684
"Bourgogne","Dijon",1642734
"Nord-Pas-de-Calais","Lille",4042015
"Lorraine","Metz",2350657
"Alsace","Strasbourg",1852325
"Franche-Comté","Besançon",1173440
"Pays de la Loire","Nantes",3601113
"Bretagne","Rennes",3217767
"Poitou-Charentes","Poitiers",1777773
"Aquitaine","Bordeaux",3254233
"Midi-Pyrénées","Toulouse",2903420
"Limousin","Limoges",741720
"Rhône-Alpes","Lyon",6283541
"Auvergne","Clermont-Ferrand",1350682
"Languedoc-Roussillon","Montpellier",2670460
"Provence-Alpes-Côte d'Azur","Marseille",4916690
"Corse","Ajaccio",314486
