"ville","users","lon","lat","address"
"abbeville",21,1.836833,50.105467,"abbeville, france"
"agen",127,0.616363,44.203142,"agen, france"
"aix en provence",486,5.447427,43.529742,"aix-en-provence, france"
"ajaccio",150,8.738635,41.919229,"ajaccio, france"
"albertville",18,6.392726,45.675535,"albertville, france"
"albi",89,2.1486413,43.9250853,"albi, france"
"alencon",35,0.091266,48.432856,"alençon, france"
"ales",42,4.083352,44.127204,"alès, france"
"alfortville",46,2.422317,48.80093,"alfortville, france"
"altkirch",3,7.243036,47.620391,"altkirch, france"
"ambert",5,3.739308,45.549532,"ambert, france"
"amiens",359,2.295753,49.894067,"amiens, france"
"ancenis",11,-1.177491,47.365464,"ancenis, france"
"angers",545,-0.563166,47.478419,"angers, france"
"anglet",38,-1.514699,43.481402,"anglet, france"
"angouleme",89,0.1562369,45.648377,"angoulême, france"
"annecy",242,6.129384,45.899247,"annecy, france"
"annemasse",30,6.234158,46.193253,"annemasse, france"
"antibes",113,7.125102,43.580418,"antibes, france"
"antony",56,2.302553,48.759255,"antony, france"
"apt",12,5.395439,43.876452,"apt, france"
"arcachon",49,-1.1785016,44.652297,"arcachon, france"
"argeles gazost",2,-0.101087,43.005028,"65400 argelès-gazost, france"
"argentan",7,-0.016566,48.744001,"argentan, france"
"argenteuil",79,2.2466847,48.9472096,"argenteuil, france"
"arles",78,4.6277769,43.676647,"arles, france"
"arras",133,2.777535,50.291002,"arras, france"
"asnieres sur seine",77,2.285369,48.914155,"asnières-sur-seine, france"
"athis mons",13,2.38479,48.7092979,"athis-mons, france"
"aubagne",29,5.5676425,43.2926781,"aubagne, france"
"aubervilliers",33,2.384049,48.912259,"aubervilliers, france"
"aubusson",4,2.1689379,45.95409,"aubusson, france"
"auch",29,0.586709,43.64638,"auch, france"
"aulnay sous bois",41,2.4970711,48.9412151,"aulnay-sous-bois, france"
"aurillac",32,2.444997,44.930953,"aurillac, france"
"autun",11,4.301565,46.950914,"autun, france"
"auxerre",63,3.573781,47.798202,"auxerre, france"
"avallon",8,3.907722,47.48822,"avallon, france"
"avesnes sur helpe",3,3.926864,50.123589,"59440 avesnes-sur-helpe, france"
"avignon",318,4.805528,43.949317,"avignon, france"
"avranches",12,-1.36166,48.686843,"50300 avranches, france"
"bagneres de bigorre",6,0.1491049,43.065093,"bagnères-de-bigorre, france"
"bagneux",17,2.31002,48.796696,"bagneux, france"
"bagnolet",28,2.4234589,48.870364,"bagnolet, france"
"baie mahault",11,-61.5868,16.2678,"mairie de baie-mahault, rue république, baie mahault 97122, guadeloupe"
"bar le duc",9,5.158238,48.773605,"55000 bar-le-duc, france"
"bar sur aube",2,4.707771,48.231209,"bar-sur-aube, france"
"barcelonnette",1,6.650463,44.3863,"04400 barcelonnette, france"
"basse terre",1,-62.7176924,17.30261,"basseterre, saint kitts and nevis"
"bastia",131,9.450881,42.697283,"bastia, france"
"bayeux",15,-0.70314,49.276437,"14400 bayeux, france"
"bayonne",126,-1.474841,43.492949,"bayonne, france"
"beaune",23,4.840004,47.02603,"beaune, france"
"beauvais",86,2.0807123,49.4295387,"beauvais, france"
"belfort",104,6.863849,47.639674,"belfort, france"
"bellac",1,1.051593,46.122228,"bellac, france"
