gov,ministry,name,status
Valls-1,Premier ministre,Manuel VALLS,
Valls-1,Ministre des affaires étrangères et du développement international,Laurent FABIUS,
Valls-1,"Secrétaire d'Etat chargée du commerce extérieur, de la promotion du tourisme et des Français à l'étranger",Fleur PELLERIN,
Valls-1,Secrétaire d'Etat chargé des affaires européennes,Harlem DESIR,
Valls-1,Secrétaire d'Etat chargée du développement et de la francophonie,Annick GIRARDIN,
Valls-1,"Ministre de l'écologie, du développement durable et de l'énergie",Ségolène ROYAL,
Valls-1,"Secrétaire d'Etat chargé des transports, de la mer et de la pêche",Frédéric CUVILLIER,
Valls-1,"Ministre de l'éducation nationale, de l'enseignement supérieur et de la recherche",Benoît HAMON,
Valls-1,Secrétaire d'Etat chargée de l'enseignement supérieur et de la recherche,Geneviève FIORASO,
Valls-1,"Garde des sceaux, ministre de la justice",Christiane TAUBIRA,
Valls-1,Ministre des finances et des comptes publics,Michel SAPIN,
Valls-1,Secrétaire d'Etat chargé du budget,Christian ECKERT,
Valls-1,"Ministre de l'économie, du redressement productif et du numérique",Arnaud MONTEBOURG,
Valls-1,"Secrétaire d'Etat chargée du commerce, de l'artisanat, de la consommation et de l'économie sociale et solidaire",Valérie FOURNEYRON,out
Valls-1,"Secrétaire d'Etat chargée du commerce, de l'artisanat, de la consommation et de l'économie sociale et solidaire",Carole DELGA,in
Valls-1,Secrétaire d'Etat chargée du numérique,Axelle LEMAIRE,
Valls-1,Ministre des affaires sociales et de la santé,Marisol TOURAINE,
Valls-1,"Secrétaire d'Etat chargée de la famille, des personnes âgées et de l'autonomie",Laurence ROSSIGNOL,
Valls-1,Secrétaire d'Etat chargée des personnes handicapées et de la lutte contre l'exclusion,Ségolène NEUVILLE,
Valls-1,"Ministre du travail, de l'emploi et du dialogue social",François REBSAMEN,
Valls-1,Ministre de la défense,Jean-Yves LE DRIAN,
Valls-1,Secrétaire d'Etat chargé des anciens combattants et de la mémoire,Kader ARIF,
Valls-1,Ministre de l'intérieur,Bernard CAZENEUVE,
Valls-1,"Ministre des droits des femmes, de la ville, de la jeunesse et des sports",Najat VALLAUD-BELKACEM,
Valls-1,Secrétaire d'Etat chargé des sports,Thierry BRAILLARD,
Valls-1,Ministre de la décentralisation et de la fonction publique,Marylise LE BRANCHU,
Valls-1,Secrétaire d'Etat chargé de la réforme territoriale,André VALLINI,
Valls-1,Ministre de la culture et de la communication,Aurélie FILIPETTI,
Valls-1,"Ministre de l'agriculture, de l'agroalimentaire et de la forêt, porte-parole du Gouvernement",Stéphane LE FOLL,
Valls-1,Ministre du logement et de l'égalité des territoires,Sylvia PINEL,
Valls-1,Ministre des outre-mer,George PAU-LANGEVIN,
Valls-1,"Secrétaire d’Etat auprès du Premier ministre, chargé des relations avec le Parlement",Jean-Marie LE GUEN,
Valls-1,"Secrétaire d’Etat auprès du Premier ministre, chargé de la réforme de l’Etat et de la simplification",Thierry MANDON,
Ayrault-2,Premier ministre,Jean-Marc AYRAULT,
Ayrault-2,Ministre des affaires étrangères,Laurent FABIUS,
Ayrault-2,"Ministre délégué auprès du ministre des affaires étrangères, chargé des affaires européennes",Bernard CAZENEUVE,
Ayrault-2,"Ministre délégué auprès du ministre des affaires étrangères, chargé des affaires européennes",Thierry REPENTIN,out
Ayrault-2,"Ministre délégué auprès du ministre des affaires étrangères, chargé du développement",Pascal CANFIN,in
Ayrault-2,"Ministre déléguée auprès du ministre des affaires étrangères, chargée de la francophonie",Yamina BENGUIGUI,
Ayrault-2,"Ministre déléguée auprès du ministre des affaires étrangères, chargée des Français de l'étranger",Hélène CONWAY-MOURET,
Ayrault-2,Ministre de l'éducation nationale,Vincent PEILLON,
Ayrault-2,"Ministre déléguée auprès du ministre de l'éducation nationale, chargée de la réussite éducative",Mme George PAU-LANGEVIN,
Ayrault-2,"Garde des sceaux, Ministre de la justice",Christiane TAUBIRA,
Ayrault-2,Ministre de l'économie et des finances ,Pierre MOSCOVICI,
Ayrault-2,"Ministre délégué auprès du ministre de l'économie et des finances, chargé du budget",Jérôme CAHUZAC,
Ayrault-2,"Ministre délégué auprès du ministre de l'économie et des finances, chargé du budget",Bernard CAZENEUVE,resigned
Ayrault-2,"Ministre délégué auprès du ministre de l'économie et des finances, chargé de l'économie sociale et solidaire et de la consommation",Benoît HAMON,in
Ayrault-2,Ministre des affaires sociales et de la santé,Marisol TOURAINE,
Ayrault-2,"Ministre déléguée auprès de la ministre des affaires sociales et de la santé, chargée des personnes âgées et de l’autonomie",Michèle DELAUNAY,
Ayrault-2,"Ministre déléguée auprès de la ministre des affaires sociales et de la santé, chargée de la famille",Dominique BERTINOTTI,
Ayrault-2,"Ministre déléguée auprès de la ministre des affaires sociales et de la santé, chargée des personnes handicapées et de la lutte contre l’exclusion",Marie-Arlette CARLOTTI,
Ayrault-2,Ministre de l'égalité des territoires et du logement,Cécile DUFLOT,
Ayrault-2,"Ministre délégué auprès de la ministre de l'égalité des territoires et du logement, chargé de la ville",François LAMY,
Ayrault-2,Ministre de l'Intérieur,Manuel VALLS,
Ayrault-2,Ministre du commerce extérieur,Nicole BRICQ,
Ayrault-2,Ministre du redressement productif,Arnaud MONTEBOURG,
Ayrault-2,"Ministre déléguée auprès du ministre du redressement productif, chargée des PME, de l'innovation et de l'économie numérique",Fleur PELLERIN,
Ayrault-2,"Ministre de l'écologie, du développement durable et de l'énergie",Delphine BATHO,resigned
Ayrault-2,"Ministre de l'écologie, du développement durable et de l'énergie",Philippe MARTIN,in
Ayrault-2,"Ministre délégué auprès de la ministre de l'écologie, du développement durable et de l'énergie, chargé des transports, de la mer et de la pêche",Frédéric CUVILLIER,
Ayrault-2,"Ministre du travail, de l'emploi, de la formation professionnelle et du dialogue social",Michel SAPIN,
Ayrault-2,"Ministre délégué auprès du ministre du travail, de l'emploi, de la formation professionnelle et du dialogue social, chargé de la formation professionnelle et de l’apprentissage",Thierry REPENTIN,
Ayrault-2,Ministre de la défense,Jean-Yves LE DRIAN,
Ayrault-2,"Ministre délégué auprès du ministre de la défense, chargé des anciens combattants",Kader ARIF,
Ayrault-2,Ministre de la culture et de la communication,Aurélie FILIPPETTI,
Ayrault-2,Ministre de l'enseignement supérieur et de la recherche,Geneviève FIORASO,
Ayrault-2,"Ministre des droits des femmes, porte-parole du Gouvernement",Najat VALLAUD-BELKACEM,
Ayrault-2,"Ministre de l'agriculture, de l'agroalimentaire et de la forêt",Stéphane LE FOLL,
Ayrault-2,"Ministre délégué auprès du ministre de l'agriculture, de l'agroalimentaire et de la forêt, chargé de l’agroalimentaire ",Guillaume GAROT,
Ayrault-2,"Ministre de la réforme de l'État, de la décentralisation et de la fonction publique",Marylise LEBRANCHU,
Ayrault-2,"Ministre déléguée auprès de la ministre de la réforme de l'État, de la décentralisation et de la fonction publique, chargée de la décentralisation",Anne-Marie ESCOFFIER,
Ayrault-2,Ministre des outre-mer,Victorin LUREL,
Ayrault-2,"Ministre de l’artisanat, du commerce et du tourisme",Sylvia PINEL,
Ayrault-2,"Ministre des sports, de la jeunesse, de l'éducation populaire et de la vie associative",Valérie FOURNEYRON,
Ayrault-2,"Ministre délégué auprès du Premier ministre, chargé des relations avec le Parlement",Alain VIDALIES,
Ayrault-1,Premier ministre,Jean-Marc AYRAULT,
Ayrault-1,Ministre des affaires étrangères,Laurent FABIUS,
Ayrault-1,"Ministre délégué auprès du ministre des affaires étrangères, chargé des affaires européennes",Bernard CAZENEUVE,
Ayrault-1,"Ministre délégué auprès du ministre des affaires étrangères, chargé du développement",Pascal CANFIN,
Ayrault-1,"Ministre déléguée auprès du ministre des affaires étrangères, chargée des Français de l'étranger et de la francophonie",Yamina BENGUIGUI,
Ayrault-1,Ministre de l'éducation nationale,Vincent PEILLON,
Ayrault-1,"Ministre déléguée auprès du ministre de l'éducation nationale, chargée de la réussite éducative",Mme George PAU-LANGEVIN,
Ayrault-1,"Garde des sceaux, Ministre de la justice",Christiane TAUBIRA,
Ayrault-1,"Ministre déléguée auprès de la garde des sceaux, ministre de la justice",Delphine BATHO,
Ayrault-1,"Ministre de l'économie, des finances et du commerce extérieur",Pierre MOSCOVICI,
Ayrault-1,"Ministre délégué auprès du ministre de l'économie, des finances et du commerce extérieur, chargé du budget",Jérôme CAHUZAC,
Ayrault-1,"Ministre délégué auprès du ministre de l'économie, des finances et du commerce extérieur, chargé de l'économie sociale et solidaire",Benoît HAMON,
Ayrault-1,Ministre des affaires sociales et de la santé,Marisol TOURAINE,
Ayrault-1,"Ministre déléguée auprès de la ministre des affaires sociales et de la santé, chargée des personnes âgées et de la dépendance",Michèle DELAUNAY,
Ayrault-1,"Ministre déléguée auprès de la ministre des affaires sociales et de la santé, chargée de la famille",Dominique BERTINOTTI,
Ayrault-1,"Ministre déléguée auprès de la ministre des affaires sociales et de la santé, chargée des personnes handicapées",Marie-Arlette CARLOTTI,
Ayrault-1,Ministre de l'égalité des territoires et du logement,Cécile DUFLOT,
Ayrault-1,"Ministre délégué auprès de la ministre de l'égalité des territoires et du logement, chargé de la ville",François LAMY,
Ayrault-1,Ministre de l'Intérieur,Manuel VALLS,
Ayrault-1,"Ministre de l'écologie, du développement durable et de l'énergie",Nicole BRICQ,
Ayrault-1,"Ministre délégué auprès de la ministre de l'écologie, du développement durable et de l'énergie, chargé des transports et de l'économie maritime",Frédéric CUVILLIER,
Ayrault-1,Ministre du redressement productif,Arnaud MONTEBOURG,
Ayrault-1,"Ministre déléguée auprès du ministre du redressement productif, chargée de l'artisanat, du commerce et du tourisme",Sylvia PINEL,
Ayrault-1,"Ministre déléguée auprès du ministre du redressement productif, chargée des PME, de l'innovation et de l'économie numérique",Fleur PELLERIN,
Ayrault-1,"Ministre du travail, de l'emploi, de la formation professionnelle et du dialogue social",Michel SAPIN,
Ayrault-1,Ministre de la défense,Jean-Yves LE DRIAN,
Ayrault-1,"Ministre délégué auprès du ministre, chargé des anciens combattants",Kader ARIF,
Ayrault-1,Ministre de la culture et de la communication,Aurélie FILIPPETTI,
Ayrault-1,Ministre de l'enseignement supérieur et de la recherche,Geneviève FIORASO,
Ayrault-1,"Ministre des droits des femmes, porte-parole du Gouvernement",Najat VALLAUD-BELKACEM,
Ayrault-1,Ministre de l'agriculture et de l'agroalimentaire,Stéphane LE FOLL,
Ayrault-1,"Ministre de la réforme de l'Etat, de la décentralisation et de la fonction publique",Marylise LEBRANCHU,
Ayrault-1,Ministre des outre-mer,Victorin LUREL,
Ayrault-1,"Ministre des sports, de la jeunesse, de l'éducation populaire et de la vie associative",Valérie FOURNEYRON,
Ayrault-1,"Ministre délégué auprès du Premier ministre, chargé des relations avec le Parlement",Alain VIDALIES,
