"name","gender","party","twitter","mandates","ville","departement","type","id","statuses","followers","created","last_tweeted","age","followers_sample"
"François HOLLANDE","m","PS","fhollande","Président de la République","","","Else","18814998",4374,949862,2009,"2015-04-07",2348,921711
"Nicolas SARKOZY","m","UMP","nicolassarkozy","Responsable politique national, Sans mandat électif courant","","","Else","490126636",5919,719424,2012,"2015-04-21",1220,696968
"Marine LE PEN","f","FN","mlp_officiel","Conseiller municipal, Député européen, Responsable politique national","","EUROPE","MEP","217749896",5603,554177,2010,"2015-04-21",1669,525326
"Jean-Luc MELENCHON","m","FDG","jlmelenchon","Député européen","","","MEP","80820758",11758,424239,2009,"2015-04-20",2077,406113
"Nathalie KOSCIUSKO-MORIZET","f","UMP","nk_m","Conseiller municipal, Député, Responsable politique national","paris","paris","MP","20702279",5817,389409,2009,"2015-04-21",2314,378960
"Anne HIDALGO","f","PS","anne_hidalgo","Conseiller régional, Maire","paris","paris","Local","26073581",24331,338536,2009,"2015-04-21",2275,318907
"Najat VALLAUD-BELKACEM","f","PS","najatvb","Ministre","","","Else","79145543",6234,332141,2009,"2015-04-21",2083,320487
"François BAYROU","m","MODEM","bayrou","Maire, Président de Communauté d'Agglomération, Responsable politique national","pau","pyrenees atlantiques","Else","17211968",1699,279149,2008,"2015-04-21",2413,271041
"Arnaud MONTEBOURG","m","PS","montebourg","Sans mandat électif courant","","","Else","69255422",1440,275652,2009,"2015-04-16",2119,269614
"Cécile DUFLOT","f","EELV","cecileduflot","Conseiller régional, Député","paris","paris","MP","17508660",12627,274962,2008,"2015-04-19",2399,267581
"Christine LAGARDE","f","UMP","lagarde","Sans mandat électif courant","","","Else","304909941",571,268685,2011,"2015-04-19",1483,261472
"Ségolène ROYAL","f","PS","royalsegolene","Ministre","","","Else","69032746",3636,251419,2009,"2015-04-21",2119,246181
"Fleur PELLERIN","f","PS","fleurpellerin","Ministre","","","Else","38021678",3864,233208,2009,"2015-04-21",2232,221358
"François FILLON","m","UMP","francoisfillon","Député","","paris","MP","551669623",6784,228951,2012,"2015-04-21",1160,215220
"Benoît HAMON","m","PS","benoithamon","Député","","yvelines","MP","14389177",2933,204266,2008,"2015-04-21",2618,202686
"Jean-François COPE","m","UMP","jf_cope","Député, Maire","meaux","seine et marne","MP","105116603",4958,199357,2010,"2015-04-21",1978,196623
"Christiane TAUBIRA","f","PRG","chtaubira","Conseiller régional, Ministre","","","Else","93484066",1185,186397,2009,"2015-04-20",2024,179627
"Manuel VALLS","m","PS","manuelvalls","Maire adjoint, Ministre","","","Else","70385068",415,178336,2009,"2015-04-21",2115,165752
"Alain JUPPE","m","UMP","alainjuppe","Maire, Président de Communauté d'Agglomération","bordeaux","gironde","Local","258345629",5083,176991,2011,"2015-04-21",1570,166790
"Jean-Marc AYRAULT","m","PS","jeanmarcayrault","Député","","loire atlantique","MP","28332028",3236,171110,2009,"2015-04-13",2266,168798
"Jean-Louis BORLOO","m","UDI","jlborloo","Sans mandat électif courant","valenciennes","nord","Else","279137479",1091,163925,2011,"2015-04-21",1529,161750
"Laurent WAUQUIEZ","m","UMP","laurentwauquiez","Député, Maire, Responsable politique national, Vice-Président de Communauté d'Agglomération","","haute loire","MP","19438626",2093,150584,2009,"2015-04-21",2334,148555
"Laurent FABIUS","m","PS","laurentfabius","Conseiller municipal, Ministre","","","Else","22428439",6605,146381,2009,"2015-04-21",2297,141420
"Valérie PECRESSE","f","UMP","vpecresse","Conseiller régional, Député","","yvelines","MP","49969223",11413,146111,2009,"2015-04-21",2184,143788
"Martine AUBRY","f","PS","martineaubry","Maire","lille","nord","Local","26031424",483,144219,2009,"2014-03-30",2275,144219
"Aurélie FILIPPETTI","f","PS","aurelifil","Député","","moselle","MP","251524687",1068,138986,2011,"2015-04-20",1584,137119
"Nadine MORANO","f","UMP","nadine__morano","Conseiller régional, Député européen","","EUROPE","MEP","413839619",11469,131992,2011,"2015-04-20",1308,131166
"Pierre MOSCOVICI","m","PS","pierremoscovici","Sans mandat électif courant","","","Else","28565356",5121,131425,2009,"2015-04-21",2265,128973
"Eva JOLY","f","EELV","evajoly","Député européen","","EUROPE","MEP","234035533",2298,123621,2011,"2015-04-21",1623,121859
"Jean-Pierre RAFFARIN","m","UMP","jpraffarin","Sénateur","vienne","vienne","Senator","359979086",6038,97507,2011,"2015-04-21",1394,96403
"Rachida DATI","f","UMP","datirachida","Député européen, Maire","","","MEP","272401679",2051,93346,2011,"2015-04-21",1543,91701
"Christine BOUTIN","f","DVD","christineboutin","Conseiller départemental","rambouillet","yvelines","Local","90635543",13025,90774,2009,"2015-04-21",2037,88691
"Philippe POUTOU","m","DVG","philippepoutou","Responsable politique national, Sans mandat électif courant","","","Else","374392774",1473,86158,2011,"2015-04-21",1369,81191
